base,NES,Ours,Bandits
0,0.0,0.0,0.0
1000,0.8,5.6,1.8
2000,2.2,16.6,4.7
3000,5.5,26.5,6.9
4000,9.6,37.4,10.4
5000,13.7,46.5,13.2
6000,18.0,55.1,15.9
7000,22.3,62.1,19.1
8000,27.0,67.4,22.5
9000,33.2,71.8,25.3
10000,37.0,76.7,27.6
11000,41.6,79.6,29.8
12000,46.8,82.6,31.5
13000,51.8,84.4,33.7
14000,54.3,86.8,36.0
15000,57.4,89.0,38.6
16000,60.6,91.3,40.5
17000,63.7,91.9,42.6
18000,66.4,92.5,45.2
19000,69.4,94.0,47.2
20000,71.1,94.3,49.1
21000,73.7,95.2,50.8
22000,75.7,95.4,52.3
23000,78.4,95.5,54.0
24000,81.0,96.2,54.9
25000,82.7,96.5,56.1
26000,84.4,96.9,57.8
27000,85.9,97.4,59.3
28000,86.6,97.9,60.8
29000,87.2,98.1,61.6
30000,88.4,98.1,62.4
31000,89.2,98.2,63.4
32000,89.8,98.5,64.5
33000,90.6,98.8,65.4
34000,91.3,98.9,66.2
35000,92.1,99.0,66.9
36000,92.8,99.0,67.6
37000,93.1,99.0,68.0
38000,93.7,99.1,68.9
39000,94.0,99.1,69.9
40000,94.4,99.1,71.0
41000,94.9,99.2,71.9
42000,95.1,99.2,72.2
43000,95.3,99.3,72.9
44000,95.7,99.3,73.3
45000,95.8,99.3,73.7
46000,96.2,99.3,74.2
47000,96.3,99.4,74.5
48000,96.6,99.5,75.2
49000,96.7,99.6,75.6
50000,97.3,99.6,76.5
51000,97.4,99.6,77.4
52000,97.5,99.6,78.4
53000,97.6,99.6,79.3
54000,97.6,99.6,79.8
55000,97.7,99.6,80.0
56000,97.7,99.6,80.6
57000,97.8,99.6,81.0
58000,98.0,99.6,81.6
59000,98.3,99.6,82.1
60000,98.4,99.6,82.3
61000,98.4,99.6,82.7
62000,98.6,99.6,83.2
63000,98.6,99.8,83.3
64000,98.6,99.8,83.3
65000,98.6,99.8,83.5
66000,98.6,99.9,84.0
67000,98.6,99.9,84.2
68000,98.6,99.9,84.6
69000,98.7,99.9,84.8
70000,98.7,99.9,85.3
71000,98.7,99.9,85.5
72000,98.7,99.9,85.9
73000,98.7,99.9,86.2
74000,98.7,99.9,86.5
75000,98.7,99.9,86.5
76000,98.8,99.9,86.9
77000,98.8,99.9,87.2
78000,98.9,99.9,87.4
79000,98.9,99.9,87.8
80000,98.9,99.9,88.0
81000,99.0,99.9,88.3
82000,99.1,99.9,88.4
83000,99.1,99.9,88.8
84000,99.2,99.9,89.0
85000,99.2,99.9,89.3
86000,99.3,99.9,89.4
87000,99.3,99.9,89.6
88000,99.4,99.9,89.8
89000,99.5,99.9,90.0
90000,99.6,99.9,90.0
91000,99.6,99.9,90.3
92000,99.6,99.9,90.5
93000,99.6,99.9,90.8
94000,99.6,99.9,91.0
95000,99.7,99.9,91.0
96000,99.7,99.9,91.3
97000,99.7,99.9,91.7
98000,99.7,99.9,91.7
99000,99.7,99.9,91.9
100000,99.7,99.9,92.3
