base,NES,Bandits,Ours
0,0.0,0.0,0.0
100,5.04,34.28,31.55
200,11.05,42.48,43.17
300,16.6,48.33,54.56
400,21.96,52.91,62.24
500,27.35,56.62,67.02
600,31.7,59.87,70.66
700,35.56,62.54,73.67
800,38.79,64.65,76.12
900,42.15,66.71,78.12
1000,44.67,68.47,79.72
1100,47.09,70.01,81.32
1200,48.92,71.49,82.69
1300,51.08,72.9,84.09
1400,52.68,74.22,85.26
1500,54.52,75.17,86.27
1600,55.88,76.06,86.95
1700,57.18,77.08,87.61
1800,58.41,77.98,88.17
1900,59.59,78.84,88.98
2000,60.51,79.6,89.53
2100,61.42,80.29,89.99
2200,62.15,80.8,90.48
2300,62.82,81.49,90.79
2400,63.52,82.05,91.14
2500,64.24,82.58,91.51
2600,64.9,82.94,91.71
2700,65.44,83.47,92.02
2800,66.03,83.82,92.34
2900,66.57,84.27,92.68
3000,67.14,84.66,92.93
3100,67.67,85.12,93.22
3200,68.21,85.54,93.42
3300,68.61,85.99,93.63
3400,69.04,86.33,93.86
3500,69.37,86.61,94.01
3600,69.85,86.88,94.19
3700,70.21,87.19,94.3
3800,70.48,87.52,94.46
3900,70.94,87.71,94.6
4000,71.31,88.13,94.77
4100,71.63,88.3,94.94
4200,71.93,88.55,95.11
4300,72.23,88.8,95.23
4400,72.61,89.1,95.35
4500,72.91,89.32,95.49
4600,73.14,89.47,95.67
4700,73.4,89.61,95.75
4800,73.68,89.82,95.85
4900,73.94,90.0,95.98
5000,74.12,90.19,96.06
5100,74.3,90.38,96.16
5200,74.49,90.55,96.29
5300,74.69,90.7,96.39
5400,74.92,90.85,96.44
5500,75.11,91.02,96.5
5600,75.32,91.21,96.57
5700,75.5,91.31,96.6
5800,75.68,91.44,96.72
5900,75.8,91.51,96.78
6000,75.94,91.64,96.83
6100,76.0,91.82,96.91
6200,76.2,91.97,97.03
6300,76.4,92.1,97.1
6400,76.6,92.24,97.16
6500,76.71,92.36,97.19
6600,76.79,92.44,97.26
6700,76.92,92.61,97.34
6800,77.1,92.69,97.38
6900,77.15,92.78,97.46
7000,77.26,92.88,97.51
7100,77.4,93.02,97.56
7200,77.56,93.12,97.58
7300,77.75,93.23,97.61
7400,77.87,93.3,97.64
7500,77.98,93.4,97.68
7600,78.12,93.5,97.73
7700,78.23,93.62,97.77
7800,78.33,93.63,97.83
7900,78.45,93.7,97.91
8000,78.56,93.78,97.96
8100,78.65,93.84,98.01
8200,78.69,93.92,98.05
8300,78.79,94.0,98.06
8400,78.91,94.08,98.11
8500,78.99,94.16,98.12
8600,79.09,94.22,98.16
8700,79.17,94.27,98.21
8800,79.25,94.33,98.23
8900,79.34,94.42,98.27
9000,79.43,94.43,98.3
9100,79.5,94.49,98.3
9200,79.58,94.55,98.31
9300,79.66,94.59,98.34
9400,79.71,94.65,98.36
9500,79.84,94.71,98.37
9600,79.9,94.74,98.41
9700,80.01,94.8,98.42
9800,80.11,94.81,98.42
9900,80.16,94.9,98.44
10000,80.23,94.93,98.49
